,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
347,Cicero-6 (Community Initiative for Cellular Earth Remote Observation-6),Cicero-6,NR,USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.0,496.0,515.0,0.0013817176932586,97.45,94.7,10.0,,8.0,2017-06-23 00:00:00,,Tyvak Nanosatellite Systems,USA,Satish Dhawan Space Centre,PSLV,2017-036AE,42793,Demonstrate radio occultation observations for a commercial customer,"['10_17', 'JMSatcat']",https://directory.eoportal.org/web/eoportal/satellite-missions/a/aalto-1  http://www.planet4589.org/space/log/satcat.txt
355,Cloudsat,Cloudsat,USA,USA,"['Colorado State University', 'National Aeronautics and Space Administration (NASA)']","['Civil', 'Government']",Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,702.0,703.0,7.069635913750442,98.2,98.8,848.0,,570.0,2006-04-28 00:00:00,2.0,NASA Jet Propulsion Laboratory,USA,Vandenberg AFB,Delta 2,2006-016A,29107,"Joins Aqua, Parasol, Aura, and Calipso in A-Train; meteorological satellite, carries single radar to obtain the reflectivity of clouds.","['12', 'www.satellitedebris.net 12']",http://cloudsat.atmos.colostate.edu/overview  http://www.nasa.gov/pdf/147741main_cloudsat-calipso4.pdf
361,COMSATBw-1 (COmmunications SATellite für BundesWehr),COMSATBw-1,Germany,Germany,Armed Forces,Military,Communications,[],GEO,,63.0,35773.0,35799.0,0.0003083784040231,0.05,1436.1,2440.0,,3500.0,2009-10-01 00:00:00,15.0,Thales Alenia Space,"['France', 'Italy']",Guiana Space Center,Ariane 5,2009-054B,35943,Germany's first military communications satellite.,"['12_09', 'JM']",http://www.spacenews.com/launch/ariane-lofts-comsatbw-1-amazonas-2.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html
362,COMSATBw-2 (COmmunications SATellite für BundesWehr),COMSATBw-2,Germany,Germany,Armed Forces,Military,Communications,[],GEO,,13.2,35780.0,35794.0,0.0001660459710131,0.08,1436.11,2440.0,,3500.0,2010-05-21 00:00:00,15.0,Thales Alenia Space,"['France', 'Italy']",Guiana Space Center,Ariane 5,2010-021B,36582,"SHF (Super-High-Frequency), and UHF transponders (Ultra-High-Frequency).",SC - ASCR,http://www.thalesgroup.com/Press_Releases/Markets/Space/2010/ComSatBw-2_telecom_satellite_built_by_Thales_Alenia_Space_successfully_launched/  http://www.spacenews.com/military/100709-comsatbw2-operational.html http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/021B.HTM&act=print
365,Coriolis (Windsat),Coriolis,USA,USA,"['NASA', 'US Air Force', 'US Navy']",Military,Earth Observation,[],LEO,Sun-Synchronous,0.0,820.0,841.0,0.0014582320672175,98.8,101.5,817.0,395.0,1174.0,2003-01-06 00:00:00,3.0,"Spectrum Astro, Inc.",USA,Vandenberg AFB,Titan 2,2003-001A,27640,Monitor ocean winds and image Solar Mass Ejections (SME).,"['12', 'www.satellitedebris.net 12']",http://www.spectrumastro.com/SAI_PressReleases/PR_details.cfm?PRID=148  http://nssdc.gsfc.nasa.gov/spacewarn/spx591.html http://www.space.com/missionlaunches/titan2_launch_030106.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html
377,"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-A,NR,Taiwan,"['National Space Program Office (NSPO)', 'University Corporation for Atmospheric Research (UCAR) Boulder, CO']","['Civil', 'Government']",Earth Observation,Meteorology,LEO,Polar,0.0,764.0,836.0,0.005020920502092,72.0,100.9,70.0,,46.0,2006-04-15 00:00:00,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011A,29047,“. . . Provide atmospheric data daily in real time over thonds of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,"['12', 'www.satellitedebris.net 12']",http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html  http://www.ucar.edu/news/releases/2006/cosmic.shtml http://www.lib.cas.cz/www/space.40/2006/011B.HTM http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html
378,"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-B,NR,Taiwan,"['National Space Program Office (NSPO)', 'University Corporation for Atmospheric Research (UCAR) Boulder, CO']","['Civil', 'Government']",Earth Observation,Meteorology,LEO,Polar,0.0,769.0,831.0,0.004323570432357,72.0,100.9,70.0,,46.0,2006-04-15 00:00:00,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011B,29048,“. . . Provide atmospheric data daily in real time over thonds of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,"['12', 'www.satellitedebris.net 12']",http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html  http://www.ucar.edu/news/releases/2006/cosmic.shtml http://www.lib.cas.cz/www/space.40/2006/011B.HTM http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html
379,"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-D,NR,Taiwan,"['National Space Program Office (NSPO)', 'University Corporation for Atmospheric Research (UCAR) Boulder, CO']","['Civil', 'Government']",Earth Observation,Meteorology,LEO,Polar,0.0,669.0,746.0,0.0054397739314729,72.0,98.9,70.0,,46.0,2006-04-15 00:00:00,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011D,29050,“. . . Provide atmospheric data daily in real time over thonds of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,"['12', 'www.satellitedebris.net 12']",http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html  http://www.ucar.edu/news/releases/2006/cosmic.shtml http://www.lib.cas.cz/www/space.40/2006/011B.HTM http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html
380,"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-E,NR,Taiwan,"['National Space Program Office (NSPO)', 'University Corporation for Atmospheric Research (UCAR) Boulder, CO']","['Civil', 'Government']",Earth Observation,Meteorology,LEO,Polar,0.0,751.0,849.0,0.006834030683403,72.0,100.9,70.0,,46.0,2006-04-15 00:00:00,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011E,29051,“. . . Provide atmospheric data daily in real time over thonds of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,"['12', 'www.satellitedebris.net 12']",http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html  http://www.ucar.edu/news/releases/2006/cosmic.shtml http://www.lib.cas.cz/www/space.40/2006/011B.HTM http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html
381,"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-F,NR,Taiwan,"['National Space Program Office (NSPO)', 'University Corporation for Atmospheric Research (UCAR) Boulder, CO']","['Civil', 'Government']",Earth Observation,Meteorology,LEO,Polar,0.0,772.0,828.0,0.003905160390516,72.0,100.9,70.0,,46.0,2006-04-15 00:00:00,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011F,29052,“. . . Provide atmospheric data daily in real time over thonds of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,"['12', 'www.satellitedebris.net 12']",http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html  http://www.ucar.edu/news/releases/2006/cosmic.shtml http://www.lib.cas.cz/www/space.40/2006/011B.HTM http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html
382,COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 1,Italy,Italy,"['Italian Space Agency', 'Ministry of Defense']","['Civil', 'Military']",Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,622.0,623.0,7.150518412584913,97.9,97.2,1700.0,,3600.0,2007-06-08 00:00:00,5.0,Thales Alenia Space,"['France', 'Italy']",Vandenberg AFB,Delta 7000,2007-023A,31598,"To be part of 4-satellite constellation; radar imager, collect data on floods, droughts, earthquakes and landslides; military applications.","['12', 'www.satellitedebris.net 12']",http://www.faa.gov/data_statistics/commercial_space_data/launch_details/index.cfm?launchId=462  http://www.lib.cas.cz/knav/space.40/2007/023A.HTM http://directory.eoportal.org/pres_COSMOSkyMedConstellationof4SARSatellites.html
416,"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)",Daichi-2,NR,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,630.0,635.0,0.0003570153516601,97.88,97.36,2120.0,,5200.0,2014-05-24 00:00:00,7.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2014-029A,39766,Follow-on to ALOS-1 mission.,ZARYA,https://directory.eoportal.org/web/eoportal/satellite-missions/a/alos-2  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 http://www.mitsubishielectric.com/news/2014/0523.html
422,Deimos 2 ,Deimos 2,NR,Spain,"['DMC International Imaging (DMCII)', 'Deimos Imaging']",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,597.0,619.0,0.0015763829177414,97.99,96.85,310.0,,450.0,2014-06-19 00:00:00,10.0,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,2014-033D,40013,Part of international Disaster Monitoring Constellation.,ZARYA,https://directory.eoportal.org/web/eoportal/satellite-missions/d/deimos-2  http://www.gsdi.org/gsdiconf/gsdi14/slides/4.2Deimos.pdf
434,DirecTV-10,DirecTV-10,USA,USA,"DirecTV, Inc.",Commercial,Communications,[],GEO,,102.74,35785.0,35788.0,3.5581701516966544,0.04,1436.1,5900.0,3700.0,18000.0,2007-07-07 00:00:00,15.0,Boeing Space & Intelligence Systems,USA,Baikonur Cosmodrome,Proton M,2007-032A,31862,32 broad-beam Ka band; 55 spot-beam Ka-band transponders; will provide HDTV to CONUS.,"['12_08', 'JM']",http://www.boeing.com/defense-space/space/bss/factsheets/702/dtv10-11-12_factsheet.pdf  http://www.engadgethd.com/2007/07/07/directv-10-launched-successfully-gears-up-for-september-action/ http://www.lib.cas.cz/space.40/2007/032A.HTM
436,DirecTV-12,DirecTV-12,USA,USA,"DirecTV, Inc.",Commercial,Communications,[],GEO,,102.8,35785.0,35786.0,1.1860848525103487,0.09,1436.04,5900.0,,8700.0,2009-12-29 00:00:00,15.0,Boeing Space Systems,USA,Baikonur Cosmodrome,Breeze M,2009-075A,36131,High-definition for North America.,SC - ASCR,http://www.nasaspaceflight.com/2009/12/live-proton-m-launch-directv-12-satellite/  http://www.lib.cas.cz/space.40/2009/075A.HTM
437,DirecTV-14,DirecTV-14,USA,USA,"DirecTV, Inc.",Commercial,Communications,[],GEO,,99.0,35930.0,35933.0,3.545973547037339,0.02,1443.51,5900.0,,20000.0,2014-12-06 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Guiana Space Center,Ariane 5 ECA,2014-078B,40333,20-kilowatt Ka- and reverse-band digital broadcast satellite (DBS) that will ultimately bring 4K UHD content to DirecTV’s US customers.,ZARYA,http://www.digitaltrends.com/home-theater/directv-launches-4k-uhd-satellite/  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014
440,DirecTV-8,DirecTV-8,USA,USA,"DirecTV, Inc.",Commercial,Communications,[],GEO,,100.81,35777.0,35796.0,0.0002253507762741,0.02,1436.1,3800.0,,8200.0,2005-05-22 00:00:00,12.0,"['Loral', 'Space Systems']",USA,Baikonur Cosmodrome,"['Breeze M', 'Proton M']",2005-019A,28659,36 Ku- and Ka-band transponders.,"['12_08', 'JM']",http://www.loral.com/inthenews/050523.html  http://www.lib.cas.cz/www/space.40/2005/019A.HTM
441,DirecTV-9S,DirecTV-9S,USA,USA,"DirecTV, Inc.",Commercial,Communications,[],GEO,,101.08,35774.0,35798.0,0.000284656988329,0.03,1436.1,5500.0,2364.0,13900.0,2006-10-13 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Guiana Space Center,Ariane 5 ECA,2006-043A,29494,"52 Ku-band and 2 Ka-band transponders; direct-to-home, voice, video and internet.","['12_08', 'JM']",http://www.nssdc.gsfc.nasa.gov/spacewarn/spx636.html  http://www.lib.cas.cz/knav/space.40/2006/I043A.HTM http://phx.corporate-ir.net/phoenix.zhtml?c=127160&p=irol-newsArticle&ID=916210&highlight= http://de.wikipedia.org/wiki/DirecTV-9S
444,DLR Tubsat ,DLR Tubsat,NR,Germany,Deutsches Zentrum für Luft- und Raumfahrt,Government,Earth Science,[],LEO,Sun-Synchronous,0.0,712.0,732.0,0.0014100394811054,98.6,99.2,45.0,,120.0,1999-05-26 00:00:00,1.0,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Centre,PSLV C2,1999-029B,25757,Transmits image of its own view; not currently used for scientific mission but operational.,"['12', 'www.satellitedebris.net 12']",http://www.lib.cas.cz/www/space.40/1999/029C.HTM  http://nssdc.gsfc.nasa.gov/spacewarn/spx547.html http://www.vectronic-aerospace.com/Image_Gallery/DLR-TUBSAT/dlr-tubsat.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html
449,"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA 131,USA,USA,"['DoD', 'NOAA']",Military,Earth Observation,"['Earth Science', 'Meterology']",LEO,Sun-Synchronous,0.0,842.0,855.0,0.0009004640853362,98.9,101.9,1134.0,823.0,900.0,1997-04-04 00:00:00,5.0,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,1997-012A,24753,Near-polar orbits; investigate Earth's environment.,JMSatcat304,www.wmo.ch/web/www/OSY/Meetings/ICT-IOS3/Doc2-3(1).doc   http://dmsp.ngdc.noaa.gov/ http://heasarc.gsfc.nasa.gov/docs/heasarc/missions.dmsp.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html http://www.lib.cas.cz/www/space.40/1997/012A.HTM
450,"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA 147,USA,USA,"['DoD', 'NOAA']",Military,Earth Observation,"['Earth Science', 'Meterology']",LEO,Sun-Synchronous,0.0,837.0,851.0,0.00097033545883,98.9,101.8,1152.0,823.0,900.0,1999-12-12 00:00:00,5.0,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,1999-067A,25991,"['1 sensor to track sea ice.', ""Near-polar orbits; investigate Earth's environment. Problem with SSM""]",JMSatcat304,www.wmo.ch/web/www/OSY/Meetings/ICT-IOS3/Doc2-3(1).doc   http://dmsp.ngdc.noaa.gov/ http://heasarc.gsfc.nasa.gov/docs/heasarc/missions.dmsp.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html  http://wattsupwiththat.com/2009/02/18/nsidc-satellite-sea-ice-sensor-has-catastrophic-failure-data-faulty-for-the-last-45-days/
451,"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA 172,USA,USA,"['DoD', 'NOAA']",Military,Earth Observation,"['Earth Science', 'Meterology']",LEO,Sun-Synchronous,0.0,843.0,852.0,0.0006234845860755,98.9,101.87,1154.0,825.0,900.0,2003-10-18 00:00:00,5.0,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,2003-048A,28054,Near-polar orbits; investigate Earth's environment.,JMSatcat304,www.wmo.ch/web/www/OSY/Meetings/ICT-IOS3/Doc2-3(1).doc   http://dmsp.ngdc.noaa.gov/ http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html
452,"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA 173,USA,USA,"['DoD', 'NOAA']",Military,Earth Observation,"['Earth Science', 'Meterology']",LEO,Sun-Synchronous,0.0,842.0,855.0,0.0009004640853362,98.79,101.89,1154.0,825.0,900.0,2006-11-04 00:00:00,5.0,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Delta 4,2006-050A,29522,Near-polar orbits; investigate Earth's environment.,SC - ASCR,http://www.lib.cas.cz/knav/space.40/2006/050A.HTM  http://nssdc.gsfc.nasa.gov/spacewarn/spx637.html
453,"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA 210,USA,USA,"['DoD', 'NOAA']",Military,Earth Observation,"['Earth Science', 'Meterology']",LEO,Sun-Synchronous,0.0,842.0,859.0,0.001177203794751,98.93,101.94,1155.0,825.0,900.0,2009-10-18 00:00:00,5.0,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Atlas 5,2009-057A,35951,Near-polar orbits; investigate Earth's environment.,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html  http://www.ngdc.noaa.gov/dmsp/index.html
658,"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",USA 167,USA,USA,US Air Force,Military,Communications,[],GEO,,60.01,35771.0,35802.0,0.0003676775823419,0.03,1436.12,1156.0,884.0,1240.0,2003-03-11 00:00:00,10.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 2A,2003-008A,27691,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.","['12_08', 'JM']",http://1mms.external.lmco.com/newsbureau/pressreleases/03.07.html  http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm http://www.fas.org/spp/military/program/com/dscs_3.htm
659,"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",USA 170,USA,USA,US Air Force,Military,Communications,[],GEO,,52.51,35760.0,35814.0,0.0006404630310505,0.05,1436.1,1156.0,884.0,1240.0,2003-08-29 00:00:00,10.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Delta 4,2003-040A,27875,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band. ","['12_08', 'JM']",http://www.space.com/missionlaunches/launches/atlas_launch_001019.html  http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm http://www.fas.org/spp/military/program/com/dscs_3.htm
660,"DSCS III-F10 (USA 135, DSCS III B-USA 13) (Defense Satellite Communications System)",USA 135,USA,USA,US Air Force,Military,Communications,[],GEO,,130.05,35757.0,35817.0,0.0007116255900562,2.54,1436.1,1156.0,884.0,1240.0,1997-10-24 00:00:00,10.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Delta 4,1997-065A,25019,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.","['12_08', 'JM']",www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html  http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm http://www.fas.org/spp/military/program/com/dscs_3.htm
661,"DSCS III-F12 (USA 153, DSCS III B-USA  (Defense Satellite Communications System)",USA 153,USA,USA,US Air Force,Military,Communications,[],GEO,,12.15,35774.0,35799.0,0.000296514179308,0.04,1436.12,1156.0,884.0,1240.0,2000-10-20 00:00:00,10.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 2A,2000-065A,26575,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.","['12_08', 'JM']",www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html  http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm http://www.fas.org/spp/military/program/com/dscs_3.htm
